Design Variable, Value (all in base SI units or derived units thereof),
wing.span(), 38.995547,
wing_root_chord, 2.233174,
wing_taper_ratio, 0.500000,
wing.xsecs[0].airfoil.name, e216,
,,
hstab.span(), 2.320149,
hstab.mean_geometric_chord(), 1.119049,
hstab.xsecs[0].airfoil.name, naca0008,
,,
vstab.span(), 2.323003,
vstab.mean_geometric_chord(), 1.136498,
vstab.xsecs[0].airfoil.name, naca0008,
,,
max_mass_total, 291.119251,
,,
solar_area_fraction, 0.800000,
battery_capacity_watt_hours, 46742.044720,
n_propellers, 6.000000,
propeller_diameter, 2.252787,
,,
boom_length, 6.769075,
